Index,m/z,RT [min],Molecular Weight,Calibration RT [min]
3028,553.23615,13.661,554.24342,13.661
3029,553.27777,10.109,554.28505,10.109
3030,553.28754,3.224,554.29481,3.224
3031,553.48352,19.385,554.4908,19.385
3032,553.48358,19.3,554.49086,19.3
3033,553.51575,10.498,554.52302,10.498
3034,553.61951,0.726,554.62678,0.726
3035,554.26166,9.298,555.26893,9.298
3036,554.60504,0.725,555.61232,0.725
3037,554.61877,0.723,555.62605,0.723
3038,554.66266,0.744,555.66994,0.744
3039,555.2724,16.363,556.27968,16.363
3040,555.28302,14.638,556.2903,14.638
3041,555.61609,0.724,556.62337,0.724
3042,555.63617,0.693,556.64345,0.693
3043,555.96143,0.816,519.01282,0.816
3044,556.19104,3.312,557.19832,3.312
3045,556.32556,17.762,557.33284,17.762
3046,556.36169,18.234,557.36897,18.234
3047,556.5979,0.705,557.60518,0.705
3048,556.59973,0.709,575.61757,0.709
3049,556.60089,0.727,255.80134,0.727
3050,556.6283,0.735,557.63557,0.735
3051,556.77734,0.766,557.78462,0.766
3052,556.77771,18.594,557.78499,18.594
3053,557.03522,14.66,1116.08499,14.66
3054,557.21198,15.124,558.21925,15.124
3055,557.2619,13.662,558.26918,13.662
3056,557.4574,19.706,558.46467,19.706
3057,557.62659,0.736,558.63386,0.736
3058,558.26013,12.435,559.26741,12.435
3059,558.26013,12.443,1118.53482,12.443
3060,558.59344,0.705,559.60072,0.705
3061,558.62537,0.732,559.63264,0.732
3062,558.68616,0.755,559.69343,0.755
3063,558.78253,0.871,559.78981,0.871
3064,558.80951,22.929,559.81679,22.929
3065,559.25183,10.655,560.25911,10.655
3066,559.30768,18.6,560.31495,18.6
3067,559.47284,20.162,560.48012,20.162
3068,559.81372,13.459,1121.64199,13.459
3069,559.81476,22.935,560.82203,22.935
3070,560.40796,19.905,561.41524,19.905
3071,560.62524,0.73,561.63252,0.73
3072,560.84003,17.127,561.8473,17.127
3073,561.22241,3.271,562.22969,3.271
3074,561.23328,13.658,562.24055,13.658
3075,561.48822,20.512,562.4955,20.512
3076,561.60571,0.729,562.61299,0.729
3077,561.96863,0.804,562.9759,0.804
3078,562.03534,1.102,563.04262,1.102
3079,562.03558,2.144,563.04286,2.144
3080,562.12433,9.067,563.13161,9.067
3081,562.20209,10.649,563.20936,10.649
3082,562.60382,0.723,563.6111,0.723
3083,562.62,0.729,563.62727,0.729
3084,562.63525,0.691,563.64253,0.691
3085,562.79822,16.851,563.80549,16.851
3086,562.79846,0.771,563.80574,0.771
3087,563.02753,10.583,564.0348,10.583
3088,563.02753,10.584,1128.06961,10.584
3089,563.02759,10.461,1128.06973,10.461
3090,563.12921,0.818,564.13649,0.818
3091,563.14343,11.806,564.15071,11.806
3092,563.24866,14.64,564.25593,14.64
3093,563.2746,14.63,564.28187,14.63
3094,564.18317,1.109,565.19044,1.109
3095,564.18323,1.462,565.1905,1.462
3096,564.53595,20.704,565.54323,20.704
3097,564.60071,0.72,565.60798,0.72
3098,564.61584,0.731,565.62312,0.731
3099,564.78986,0.769,565.79713,0.769
3100,565.03247,13.718,566.03975,13.718
3101,565.03259,13.63,1132.07974,13.63
3102,565.27771,10.625,566.28499,10.625
3103,565.51984,17.76,566.52711,17.76
3104,566.25427,3.243,567.26155,3.243
3105,566.47882,18.046,1134.97219,18.046
3106,566.47906,18.055,567.48634,18.055
3107,566.5979,0.72,567.60518,0.72
3108,566.67725,0.688,567.68452,0.688
3109,566.73163,0.752,567.73891,0.752
3110,567.07867,11.742,568.08595,11.742
3111,567.25189,13.655,568.25917,13.655
3112,567.58014,0.711,568.58742,0.711
3113,568.27753,12.209,569.2848,12.209
3114,568.57831,0.713,569.58558,0.713
3115,568.59619,0.725,569.60347,0.725
