Index,m/z,RT [min],Molecular Weight,Calibration RT [min]
2630,382.27094,6.923,383.27821,6.923
2631,382.55029,1.118,383.55757,1.118
2632,382.55029,2.487,767.11514,2.487
2633,382.72049,0.704,383.72777,0.704
2634,382.7261,0.727,383.73338,0.727
2635,383.1098,1.457,384.11708,1.457
2636,383.10983,1.112,192.05855,1.112
2637,383.10999,1.114,384.11726,1.114
2638,383.112,3.14,384.1193,3.14
2639,383.11426,3.558,384.12153,3.558
2640,383.12219,1.11,384.12947,1.11
2641,383.2198,16.06666667,384.2271,16.06666667
2642,383.31662,18.234,384.3239,18.234
2643,383.35287,19.008,384.36015,19.008
2644,383.35306,18.074,384.36033,18.074
2645,384.10632,1.48,385.1136,1.48
2646,384.1153,8.218333333,385.1226,8.218333333
2647,384.12549,1.463,385.13276,1.463
2648,384.28107,17.741,385.28834,17.741
2649,384.31155,18.925,385.31883,18.925
2650,384.31177,18.79,385.31904,18.79
2651,384.80991,0.888,385.81718,0.888
2652,384.80994,0.771,385.81721,0.771
2653,384.83795,0.748,385.84523,0.748
2654,385.10785,3.303,386.11513,3.303
2655,385.29568,19.063,386.30296,19.063
2656,385.29593,15.375,386.30321,15.375
2657,385.86539,22.93,386.87266,22.93
2658,385.88126,0.759,386.88853,0.759
2659,385.99042,0.954,386.99769,0.954
2660,386.01703,0.802,387.02431,0.802
2661,386.21176,12.088,387.21904,12.088
2662,386.44534,0.792,387.45262,0.792
2663,386.72971,0.701,387.73698,0.701
2664,386.75034,0.745,387.75761,0.745
2665,386.76279,0.691,351.79339,0.691
2666,386.80713,0.861,349.85852,0.861
2667,387.03336,0.853,388.04063,0.853
2668,387.18442,16.284,388.19169,16.284
2669,387.25,9.746,388.25728,9.746
2670,387.31143,19.605,388.31871,19.605
2671,387.3118,18.665,388.31907,18.665
2672,387.72864,0.701,388.73591,0.701
2673,387.93845,0.764,388.94572,0.764
2674,388.1411,9.913333333,389.1484,9.913333333
2675,388.1553,15.181,389.16258,15.181
2676,388.15533,14.714,389.16261,14.714
2677,388.15533,17.056,389.16261,17.056
2678,388.17706,4.087,389.18434,4.087
2679,388.23401,8.088,389.24129,8.088
2680,388.2529,16.858,389.26018,16.858
2681,388.28534,14.524,389.29262,14.524
2682,388.28561,14.13,389.29289,14.13
2683,388.2858,14.648,389.29307,14.648
2684,388.74161,0.737,389.74888,0.737
2685,388.8385,0.863,389.84578,0.863
2686,388.94452,0.577,389.9518,0.577
2687,388.99973,0.822,390.007,0.822
2688,389.08804,3.328,390.09532,3.328
2689,389.12976,3.312,390.13704,3.312
2690,389.1423,7.795,390.1496,7.795
2691,389.29083,18.407,390.29811,18.407
2692,389.31732,16.703,390.3246,16.703
2693,389.32724,18.771,390.33452,18.771
2694,389.34235,18.933,390.34962,18.933
2695,390.21469,9.065,391.22197,9.065
2696,390.26822,17.451,391.2755,17.451
2697,390.30112,14.453,391.30839,14.453
2698,390.30133,15.348,391.30861,15.348
2699,390.30136,14.973,391.30864,14.973
2700,390.30173,14.778,391.309,14.778
2701,390.80426,0.681,391.81154,0.681
2702,390.90012,0.649,391.90739,0.649
2703,391.07953,1.104,278.09394,1.104
2704,391.07965,1.109,392.08693,1.109
2705,391.125,3.316,392.13228,3.316
2706,391.1559,11.235,392.1632,11.235
2707,391.1928,13.315,392.2001,13.315
2708,391.19861,7.891,392.20589,7.891
2709,391.22137,11.391,392.22865,11.391
2710,391.22137,11.747,392.22865,11.747
